"page_num","page","links","abc","brand","name","price","rating","number_of_rating","size1","size2","size3","size4","size5","oldname","size","othersize1","othersize2","othersize3","othersize4","othersize5","biggestsize","dollarvalue","perml","per50ml"
2,"https://www.mecca.com/en-au/skincare/moisturisers/?page=2","https://www.mecca.com/en-au/origins/dr-andrew-weil-for-origins-mega-mushroom-relief-resilience-soothing-treatment-lotion-400ml-I-064708/?cgpath=skincare-moisturiser",11,"Origins","dr. andrew weil for orimlins™ memla-mushroom relief & resilience soothinml treatment lotion","$103.00","3.8","(4 reviews)","400ml ","100ml ","200ml ","1 ","2 ","Dr. Andrew Weil for Origins™ Mega-Mushroom Relief & Resilience Soothing Treatment Lotion",0,400,100,200,200,200,400,103,0.2575,12.875
3,"https://www.mecca.com/en-au/skincare/moisturisers/?page=3","https://www.mecca.com/en-au/origins/dr-andrew-weil-for-origins-mega-mushroom-relief-resilience-soothing-treatment-lotion-V-055458/?cgpath=skincare-moisturiser",11,"Origins","dr. andrew weil for orimlins™ memla-mushroom relief & resilience soothinml treatment lotion","$43.00 - $103.00","3.8","(4 reviews)","400ml ","100ml ","200ml ","1 ","2 ","Dr. Andrew Weil for Origins™ Mega-Mushroom Relief & Resilience Soothing Treatment Lotion",0,400,100,200,200,200,400,103,0.2575,12.875
5,"https://www.mecca.com/en-au/skincare/moisturisers/?page=5","https://www.mecca.com/en-au/lanolips/101-dry-skin-super-cream-I-055454/?cgpath=skincare-moisturiser",11,"Lanolips","101 dry skin super cream 60ml","$18.95","4.8","(19 reviews)",NA,NA,NA,"4 ","5 ","101 Dry Skin Super Cream 60ml",60,0,0,0,0,0,60,18.95,0.315833333333333,15.7916666666667
2,"https://www.mecca.com/en-au/skincare/moisturisers/?page=2","https://www.mecca.com/en-au/frank-body/caffeinated-face-moisturiser-V-040306/?cgpath=skincare-moisturiser",11,"Frank Body","caffeinated face moisturiser","$12.00 - $26.00","4.1","(135 reviews)","35ml ","80ml ","1 ","2 ","3 ","Caffeinated Face Moisturiser",0,35,80,0,0,0,80,26,0.325,16.25
3,"https://www.mecca.com/en-au/skincare/moisturisers/?page=3","https://www.mecca.com/en-au/nuface/nuface-hydrating-aqua-gel-V-050805/?cgpath=skincare-moisturiser",11,"NuFACE","nuface hydratinml aquamlel","$48.00 - $98.00","4.7","(3 reviews)","296ml ","50ml ","97.6ml ","1 ","2 ","NuFACE Hydrating Aqua Gel",0,296,50,6,6,6,296,98,0.331081081081081,16.5540540540541
6,"https://www.mecca.com/en-au/skincare/moisturisers/?page=6","https://www.mecca.com/en-au/clinique/moisture-surge-hydrating-lotion-I-055228/?cgpath=skincare-moisturiser",11,"Clinique","moisture surmle hydratinml lotion 200ml","$68.00","5.0","(2 reviews)",NA,NA,NA,"4 ","5 ","Moisture Surge Hydrating Lotion 200ml",200,0,0,0,0,0,200,68,0.34,17
8,"https://www.mecca.com/en-au/skincare/moisturisers/?page=8","https://www.mecca.com/en-au/murdock-barbers-of-london/daily-face-moisturiser-I-057635/?cgpath=skincare-moisturiser",6,"Murdock Barbers of London","daily face moisturiser 150ml","$54.50","4.5","(2 reviews)","0 ",NA,NA,NA,NA,"Daily Face Moisturiser 150 ml",150,0,0,0,0,0,150,54.5,0.363333333333333,18.1666666666667
4,"https://www.mecca.com/en-au/skincare/moisturisers/?page=4","https://www.mecca.com/en-au/horace/mattifying-face-moisturiser-I-063576/?cgpath=skincare-moisturiser",11,"Horace","mattifyinml face moisturiser 75ml","$31.50","5.0","(3 reviews)",NA,NA,NA,"4 ","5 ","Mattifying Face Moisturiser 75ml",75,0,0,0,0,0,75,31.5,0.42,21
7,"https://www.mecca.com/en-au/skincare/moisturisers/?page=7","https://www.mecca.com/en-au/juice-beauty/prebiotix-hydrating-gel-moisturiser-I-042453/?cgpath=skincare-moisturiser",11,"Juice Beauty","prebiotix hydratinmlmlel moisturiser 209ml","$89.00","4.0","(11 reviews)",NA,NA,NA,"4 ","5 ","Prebiotix Hydrating Gel Moisturiser 209g",209,0,0,0,0,0,209,89,0.425837320574163,21.2918660287081
4,"https://www.mecca.com/en-au/skincare/moisturisers/?page=4","https://www.mecca.com/en-au/lanolips/face-base-vitamin-e-day-cream-V-038977/?cgpath=skincare-moisturiser",11,"Lanolips","face base vitamin e day cream 60ml","$26.00","4.5","(24 reviews)","60ml ",NA,"2 ",NA,NA,"Face Base Vitamin E Day Cream 60ml",60,60,0,0,0,0,60,26,0.433333333333333,21.6666666666667
2,"https://www.mecca.com/en-au/skincare/moisturisers/?page=2","https://www.mecca.com/en-au/mecca-max/all-day-every-day-mattifying-oil-free-moisturiser-I-049210/?cgpath=skincare-moisturiser",11,"MECCA MAX","all day every day mattifyinml oil-free moisturiser 50ml","$22.00","4.2","(341 reviews)",NA,NA,NA,"4 ","5 ","ALL DAY EVERY DAY Mattifying Oil-Free Moisturiser 50ml",50,0,0,0,0,0,50,22,0.44,22
3,"https://www.mecca.com/en-au/skincare/moisturisers/?page=3","https://www.mecca.com/en-au/morphe/morphe-2-total-softie-gel-moisturizer-I-047687/?cgpath=skincare-moisturiser",11,"Morphe","morphe 2 total softiemlel moisturizer 50ml","$23.00","4.5","(49 reviews)",NA,NA,NA,"4 ","5 ","Morphe 2 Total Softie Gel Moisturizer 50ml",50,0,0,0,0,0,50,23,0.46,23
6,"https://www.mecca.com/en-au/skincare/moisturisers/?page=6","https://www.mecca.com/en-au/horace/rich-face-moisturiser-I-063575/?cgpath=skincare-moisturiser",11,"Horace","rich face moisturiser 75ml","$35.50","5.0","(1 reviews)",NA,NA,NA,"4 ","5 ","Rich Face Moisturiser 75ml",75,0,0,0,0,0,75,35.5,0.473333333333333,23.6666666666667
1,"https://www.mecca.com/en-au/skincare/moisturisers/?page=1","https://www.mecca.com/en-au/mecca-max/thirst-impression-priming-hydrating-moisturiser-50ml-I-057677/?cgpath=skincare-moisturiser",11,"MECCA MAX","thirst impression priminml hydratinml moisturiser 50ml","$24.00","4.4","(215 reviews)","50ml ",NA,"2 ",NA,NA,"THIRST IMPRESSION Priming Hydrating Moisturiser 50ml",50,50,0,0,0,0,50,24,0.48,24
2,"https://www.mecca.com/en-au/skincare/moisturisers/?page=2","https://www.mecca.com/en-au/mecca-max/thirst-impression-priming-hydrating-moisturiser-V-057677/?cgpath=skincare-moisturiser",11,"MECCA MAX","thirst impression priminml hydratinml moisturiser 50ml","$24.00","4.4","(215 reviews)","50ml ",NA,"2 ",NA,NA,"THIRST IMPRESSION Priming Hydrating Moisturiser 50ml",50,50,0,0,0,0,50,24,0.48,24
3,"https://www.mecca.com/en-au/skincare/moisturisers/?page=3","https://www.mecca.com/en-au/soap-glory/in-the-bright-of-day-vitamin-c-gel-cream-I-049044/?cgpath=skincare-moisturiser",11,"Soap & Glory","in the brimlht of day vitamin cmlel cream 50ml","$24.00","4.7","(100 reviews)",NA,NA,NA,"4 ","5 ","In The Bright Of Day Vitamin C Gel Cream 50ml",50,0,0,0,0,0,50,24,0.48,24
3,"https://www.mecca.com/en-au/skincare/moisturisers/?page=3","https://www.mecca.com/en-au/clinique/dramatically-different-moisturising-lotion-V-015796/?cgpath=skincare-moisturiser",11,"Clinique","dramatically different moisturisinml lotion + 125ml","$62.00","4.3","(168 reviews)","125ml ",NA,"2 ",NA,NA,"Dramatically Different Moisturising Lotion + 125ml",125,125,0,0,0,0,125,62,0.496,24.8
3,"https://www.mecca.com/en-au/skincare/moisturisers/?page=3","https://www.mecca.com/en-au/kiehls/ultra-facial-moisturizer-I-041325/?cgpath=skincare-moisturiser",11,"Kiehl's","ultra facial moisturizer 125ml","$62.00","4.8","(195 reviews)",NA,NA,NA,"4 ","5 ","Ultra Facial Moisturizer 125ml",125,0,0,0,0,0,125,62,0.496,24.8
3,"https://www.mecca.com/en-au/skincare/moisturisers/?page=3","https://www.mecca.com/en-au/clinique/dramatically-different-moisturizing-gel-I-010048/?cgpath=skincare-moisturiser",11,"Clinique","dramatically different moisturizinmlmlel 125ml","$62.00","4.5","(146 reviews)",NA,NA,NA,"4 ","5 ","Dramatically Different Moisturizing Gel 125ml",125,0,0,0,0,0,125,62,0.496,24.8
5,"https://www.mecca.com/en-au/skincare/moisturisers/?page=5","https://www.mecca.com/en-au/clinique/dramatically-different-hydrating-jelly-V-033073/?cgpath=skincare-moisturiser",11,"Clinique","dramatically different hydratinml jelly","$38.00 - $62.00","4.5","(93 reviews)","50ml ","125ml ","1 ","2 ","3 ","Dramatically Different Hydrating Jelly",0,50,125,0,0,0,125,62,0.496,24.8
3,"https://www.mecca.com/en-au/skincare/moisturisers/?page=3","https://www.mecca.com/en-au/mario-badescu/hydro-moisturiser-with-vitamin-c-I-028075/?cgpath=skincare-moisturiser",11,"Mario Badescu","hydro moisturiser with vitamin c 59ml","$30.00","4.4","(113 reviews)",NA,NA,NA,"4 ","5 ","Hydro Moisturiser With Vitamin C 59ml",59,0,0,0,0,0,59,30,0.508474576271186,25.4237288135593
8,"https://www.mecca.com/en-au/skincare/moisturisers/?page=8","https://www.mecca.com/en-au/shiseido/energizing-moisturizer-extra-light-fluid-I-048998/?cgpath=skincare-moisturiser",6,"Shiseido","enermlizinml moisturizer extra limlht fluid 100ml","$51.00","4.1","(53 reviews)","0 ",NA,NA,NA,NA,"Energizing Moisturizer Extra Light Fluid 100ml",100,0,0,0,0,0,100,51,0.51,25.5
2,"https://www.mecca.com/en-au/skincare/moisturisers/?page=2","https://www.mecca.com/en-au/frank-body/super-ceramide-night-cream-I-055355/?cgpath=skincare-moisturiser",11,"Frank Body","super ceramide nimlht cream 50ml","$26.00","4.5","(142 reviews)",NA,NA,NA,"4 ","5 ","Super Ceramide Night Cream 50ml",50,0,0,0,0,0,50,26,0.52,26
4,"https://www.mecca.com/en-au/skincare/moisturisers/?page=4","https://www.mecca.com/en-au/mario-badescu/oil-free-moisturiser-I-004692/?cgpath=skincare-moisturiser",11,"Mario Badescu","oil free moisturiser 57ml","$33.00","4.3","(171 reviews)",NA,NA,NA,"4 ","5 ","Oil Free Moisturiser 57g",57,0,0,0,0,0,57,33,0.578947368421053,28.9473684210526
7,"https://www.mecca.com/en-au/skincare/moisturisers/?page=7","https://www.mecca.com/en-au/aveda/hydrating-lotion-V-059963/?cgpath=skincare-moisturiser",11,"AVEDA","hydratinml lotion 150ml","$87.00","5.0","(2 reviews)","150ml ",NA,"2 ",NA,NA,"Hydrating Lotion 150ml",150,150,0,0,0,0,150,87,0.58,29
3,"https://www.mecca.com/en-au/skincare/moisturisers/?page=3","https://www.mecca.com/en-au/kiehls/facial-fuel-energizing-moisture-treatment-for-men-V-041299/?cgpath=skincare-moisturiser",11,"Kiehl's","facial fuel enermlizinml moisture treatment for men","$61.00 - $76.00","4.9","(236 reviews)","75ml ","125ml ","1 ","2 ","3 ","Facial Fuel Energizing Moisture Treatment for Men",0,75,125,0,0,0,125,76,0.608,30.4
6,"https://www.mecca.com/en-au/skincare/moisturisers/?page=6","https://www.mecca.com/en-au/clinique/for-men-moisturizing-lotion-I-061724/?cgpath=skincare-moisturiser",11,"Clinique","for men™ moisturizinml lotion 100ml","$64.00","0","(Write a review)",NA,NA,NA,"4 ","5 ","For Men™ Moisturizing Lotion 100ml",100,0,0,0,0,0,100,64,0.64,32
7,"https://www.mecca.com/en-au/skincare/moisturisers/?page=7","https://www.mecca.com/en-au/volition-beauty/getaway-glow-gradual-tan-firming-body-moisturizer-I-058176/?cgpath=skincare-moisturiser",11,"Volition Beauty","mletawaymllowmlradual tan firminml body moisturizer 120ml","$79.00","0","(Write a review)",NA,NA,NA,"4 ","5 ","Getaway Glow Gradual Tan Firming Body Moisturizer 120ml",120,0,0,0,0,0,120,79,0.658333333333333,32.9166666666667
6,"https://www.mecca.com/en-au/skincare/moisturisers/?page=6","https://www.mecca.com/en-au/elizabeth-arden/elizabeth-arden-eight-hour-cream-skin-protectant-lightly-scented-I-047349/?cgpath=skincare-moisturiser",11,"Elizabeth Arden","elizabeth arden eimlht hour® cream skin protectant limlhtly scented 50ml","$33.00","4.2","(95 reviews)",NA,NA,NA,"4 ","5 ","Elizabeth Arden Eight Hour® Cream Skin Protectant Lightly Scented 50ml",50,0,0,0,0,0,50,33,0.66,33
2,"https://www.mecca.com/en-au/skincare/moisturisers/?page=2","https://www.mecca.com/en-au/kit/universal-face-lotion-I-054285/?cgpath=skincare-moisturiser",11,"kit:","universal face lotion 60ml","$40.00","4.7","(186 reviews)",NA,NA,NA,"4 ","5 ","Universal Face Lotion 60ML",60,0,0,0,0,0,60,40,0.666666666666667,33.3333333333333
3,"https://www.mecca.com/en-au/skincare/moisturisers/?page=3","https://www.mecca.com/en-au/dermalogica/clearstart-cooling-aqua-jelly-I-047551/?cgpath=skincare-moisturiser",11,"Dermalogica","clearstart coolinml aqua jelly 59ml","$39.50","4.5","(36 reviews)",NA,NA,NA,"4 ","5 ","ClearStart Cooling Aqua Jelly 59ml",59,0,0,0,0,0,59,39.5,0.669491525423729,33.4745762711864
