"page_num","page","links","abc","brand","name","price","rating","number_of_rating","size1","size2","size3","oldname","size","othersize1","othersize2","othersize3","biggestsize","dollarvalue","perml","per30ml"
4,"https://www.mecca.com/en-au/skincare/facial-serums/?page=4","https://www.mecca.com/en-au/nars/light-reflecting-treatment-lotion-I-053366/?cgpath=skincare-serums",9,"NARS","light reflecting treatment lotion 200ml","$72.00","5.0","(3 reviews)",NA,NA,NA,"Light Reflecting Treatment Lotion 200ml",200,0,0,0,200,72,0.36,10.8
7,"https://www.mecca.com/en-au/skincare/facial-serums/?page=7","https://www.mecca.com/en-au/elizabeth-arden/advanced-ceramide-twist-lift-set-I-069541/?cgpath=skincare-serums",9,"Elizabeth Arden","advanced ceramide twist & lift set 340ml","$155.00","0","(Write a review)",NA,NA,NA,"Advanced Ceramide Twist & Lift Set 340ml",340,0,0,0,340,155,0.455882352941176,13.6764705882353
6,"https://www.mecca.com/en-au/skincare/facial-serums/?page=6","https://www.mecca.com/en-au/juice-beauty/green-apple-brightening-essence-I-035448/?cgpath=skincare-serums",9,"Juice Beauty","green apple brightening essence 120ml","$65.00","4.7","(15 reviews)",NA,NA,NA,"Green Apple Brightening Essence 120ml",120,0,0,0,120,65,0.541666666666667,16.25
2,"https://www.mecca.com/en-au/skincare/facial-serums/?page=2","https://www.mecca.com/en-au/elizabeth-arden/retinol-ceramide-capsules-smooth-renew-I-069543/?cgpath=skincare-serums",9,"Elizabeth Arden","retinol ceramide capsules smooth & renew 272ml","$160.00","0","(Write a review)",NA,NA,NA,"Retinol Ceramide Capsules Smooth & Renew 272ml",272,0,0,0,272,160,0.588235294117647,17.6470588235294
7,"https://www.mecca.com/en-au/skincare/facial-serums/?page=7","https://www.mecca.com/en-au/elizabeth-arden/hyaluronic-acid-ceramide-capsules-plumping-hydration-I-069542/?cgpath=skincare-serums",9,"Elizabeth Arden","hyaluronic acid ceramide capsules plumping hydration 272ml","$160.00","0","(Write a review)",NA,NA,NA,"Hyaluronic Acid Ceramide Capsules Plumping Hydration 272ml",272,0,0,0,272,160,0.588235294117647,17.6470588235294
5,"https://www.mecca.com/en-au/skincare/facial-serums/?page=5","https://www.mecca.com/en-au/fig1/retinol-body-serum-I-067360/?cgpath=skincare-serums",9,"Fig.1","retinol body serum 100ml","$63.00","4.9","(36 reviews)",NA,NA,NA,"Retinol Body Serum 100 ml",100,0,0,0,100,63,0.63,18.9
6,"https://www.mecca.com/en-au/skincare/facial-serums/?page=6","https://www.mecca.com/en-au/kiehls/calendula-emulsion-I-069227/?cgpath=skincare-serums",9,"Kiehl's","calendula emulsion 125ml","$82.00","0","(Write a review)",NA,NA,NA,"Calendula Emulsion 125ml",125,0,0,0,125,82,0.656,19.68
5,"https://www.mecca.com/en-au/skincare/facial-serums/?page=5","https://www.mecca.com/en-au/origins/dr-weil-mega-mushroom-fortifying-emulsion-I-067626/?cgpath=skincare-serums",9,"Origins","dr. weil mega-mushroom fortifying emulsion 100ml","$71.00","0","(Write a review)",NA,NA,NA,"Dr. Weil Mega-Mushroom Fortifying Emulsion 100ml",100,0,0,0,100,71,0.71,21.3
2,"https://www.mecca.com/en-au/skincare/facial-serums/?page=2","https://www.mecca.com/en-au/kosas/plump-juicy-vegan-collagen-spray-on-serum-I-058218/?cgpath=skincare-serums",9,"Kosas","plump + juicy vegan collagen spray-on serum 100ml","$80.00","4.3","(43 reviews)",NA,NA,NA,"Plump + Juicy Vegan Collagen Spray-On Serum 100ml",100,0,0,0,100,80,0.8,24
1,"https://www.mecca.com/en-au/skincare/facial-serums/?page=1","https://www.mecca.com/en-au/mecca-max/the-break-up-blemish-busting-serum-I-049211/?cgpath=skincare-serums",9,"MECCA MAX","the break-up blemish busting serum 30ml","$25.00","4.5","(229 reviews)",NA,NA,NA,"THE BREAK-UP Blemish Busting Serum 30ML",30,0,0,0,30,25,0.833333333333333,25
